INFO 2025-02-20 04:02:22,016 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/forms/forms.py first seen with mtime 1736311827.440926
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/mail/utils.py first seen with mtime 1736311827.4209263
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/utils/__init__.py first seen with mtime 1736314502.072547
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/utils.py first seen with mtime 1736311827.4259262
DEBUG 2025-02-20 04:02:22,109 autoreload File /usr/local/lib/python3.12/re/__init__.py first seen with mtime 1724146130.8877838
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/watchmate/watchlist_app/api/serializers.py first seen with mtime 1737367248.816532
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/crypto.py first seen with mtime 1736311827.4559257
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/migrations/utils.py first seen with mtime 1736311827.4329262
DEBUG 2025-02-20 04:02:22,109 autoreload File /usr/local/lib/python3.12/urllib/request.py first seen with mtime 1724146130.9437852
DEBUG 2025-02-20 04:02:22,109 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/dateparse.py first seen with mtime 1736311827.4559257
DEBUG 2025-02-20 04:02:22,110 autoreload File /usr/local/lib/python3.12/email/encoders.py first seen with mtime 1724146130.5837772
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/forms/__init__.py first seen with mtime 1736311827.4399261
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/admin/__init__.py first seen with mtime 1736311827.1089318
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/serializers/python.py first seen with mtime 1736311827.4249263
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1736311827.3339279
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/functions/datetime.py first seen with mtime 1736311827.437926
DEBUG 2025-02-20 04:02:22,110 autoreload File /usr/local/lib/python3.12/http/server.py first seen with mtime 1724146130.6957796
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/templatetags/rest_framework.py first seen with mtime 1736314502.072547
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/serializers/json.py first seen with mtime 1736311827.4249263
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1736311827.4149265
DEBUG 2025-02-20 04:02:22,110 autoreload File /usr/local/lib/python3.12/asyncio/sslproto.py first seen with mtime 1724146130.5397763
DEBUG 2025-02-20 04:02:22,110 autoreload File /usr/local/lib/python3.12/multiprocessing/context.py first seen with mtime 1724146130.8637834
DEBUG 2025-02-20 04:02:22,110 autoreload File /usr/local/lib/python3.12/venv/__init__.py first seen with mtime 1724146130.9437852
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/urls/exceptions.py first seen with mtime 1736311827.4549258
DEBUG 2025-02-20 04:02:22,110 autoreload File /usr/local/lib/python3.12/hmac.py first seen with mtime 1724146130.4517744
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/views.py first seen with mtime 1736314502.0425467
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1736311827.4179265
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/checks/caches.py first seen with mtime 1736311827.4179265
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/urls/utils.py first seen with mtime 1736311827.4549258
DEBUG 2025-02-20 04:02:22,110 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/cache/backends/locmem.py first seen with mtime 1736311827.4169264
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/admin/helpers.py first seen with mtime 1736311827.1099317
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/decorators.py first seen with mtime 1736314502.0385468
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1736311826.9919338
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/template/loaders/base.py first seen with mtime 1736311827.4519258
DEBUG 2025-02-20 04:02:22,111 autoreload File /usr/local/lib/python3.12/string.py first seen with mtime 1724146130.4997754
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/indexes.py first seen with mtime 1736311827.434926
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/http/multipartparser.py first seen with mtime 1736311827.448926
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/cli.py first seen with mtime 1736311826.9909337
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/auth/checks.py first seen with mtime 1736311827.20593
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/utils/representation.py first seen with mtime 1736314502.073547
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/enums.py first seen with mtime 1736311827.434926
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/fields/files.py first seen with mtime 1736311827.4369261
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/template/backends/__init__.py first seen with mtime 1736311827.4519258
DEBUG 2025-02-20 04:02:22,111 autoreload File /usr/local/lib/python3.12/ssl.py first seen with mtime 1724146130.4957752
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/ipv6.py first seen with mtime 1736311827.4569259
DEBUG 2025-02-20 04:02:22,111 autoreload File /usr/local/lib/python3.12/asyncio/runners.py first seen with mtime 1724146130.5357761
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1736311827.2369297
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/auth/hashers.py first seen with mtime 1736311827.2069302
DEBUG 2025-02-20 04:02:22,111 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/__init__.py first seen with mtime 1736311826.9909337
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/asyncio/mixins.py first seen with mtime 1724146130.5357761
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/numberformat.py first seen with mtime 1736311827.4579258
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/email/quoprimime.py first seen with mtime 1724146130.5877774
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/template/loaders/filesystem.py first seen with mtime 1736311827.4519258
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/keyword.py first seen with mtime 1724146130.4557745
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/lib-dynload/select.cpython-312-x86_64-linux-gnu.so first seen with mtime 1724146138.3159456
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/contextvars.py first seen with mtime 1724146130.431774
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/socketserver.py first seen with mtime 1724146130.4957752
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/conf/global_settings.py first seen with mtime 1736311827.0579326
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1736311827.2069302
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1736311827.4319263
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/version.py first seen with mtime 1736311827.4589257
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/base/creation.py first seen with mtime 1736311827.4269264
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1736311827.3339279
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/inspect.py first seen with mtime 1736311827.4569259
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/_os.py first seen with mtime 1736311827.4549258
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/asyncio/format_helpers.py first seen with mtime 1724146130.5317762
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/asyncio/futures.py first seen with mtime 1724146130.5317762
DEBUG 2025-02-20 04:02:22,112 autoreload File /usr/local/lib/python3.12/glob.py first seen with mtime 1724146130.4477742
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/reverse.py first seen with mtime 1736314502.040547
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/exceptions.py first seen with mtime 1736311826.9909337
DEBUG 2025-02-20 04:02:22,112 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/middleware/common.py first seen with mtime 1736311827.448926
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/reprlib.py first seen with mtime 1724146130.4837751
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/functions/math.py first seen with mtime 1736311827.437926
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/dis.py first seen with mtime 1724146130.439774
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/sql.py first seen with mtime 1736311826.9919338
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/shortcuts.py first seen with mtime 1736311827.0569327
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1736311827.1809306
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/admin/views/decorators.py first seen with mtime 1736311827.1809306
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/functools.py first seen with mtime 1724146130.4437742
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/asyncio/constants.py first seen with mtime 1724146130.527776
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/filters/output.py first seen with mtime 1736311826.9929338
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/utils.py first seen with mtime 1736311826.9919338
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/template/context.py first seen with mtime 1736311827.449926
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/templatetags/i18n.py first seen with mtime 1736311827.452926
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/asgiref/sync.py first seen with mtime 1736311827.0209332
DEBUG 2025-02-20 04:02:22,113 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/forms/models.py first seen with mtime 1736311827.440926
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/_compression.py first seen with mtime 1724146130.4077735
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/asyncio/events.py first seen with mtime 1724146130.5317762
DEBUG 2025-02-20 04:02:22,113 autoreload File /usr/local/lib/python3.12/tokenize.py first seen with mtime 1724146130.5117757
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/email/mime/text.py first seen with mtime 1724146130.5957775
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/sessions/models.py first seen with mtime 1736311827.373927
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/management/color.py first seen with mtime 1736311827.4219263
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/inspect.py first seen with mtime 1724146130.4557745
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/functions/text.py first seen with mtime 1736311827.438926
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/template/exceptions.py first seen with mtime 1736311827.4509258
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/email/headerregistry.py first seen with mtime 1724146130.5877774
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/utils/duration.py first seen with mtime 1736311827.4569259
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/logging/__init__.py first seen with mtime 1724146130.8597832
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/schemas/utils.py first seen with mtime 1736314502.055547
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1736311827.3729272
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1736311827.4169264
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/checks/model_checks.py first seen with mtime 1736311827.4179265
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/re/_casefix.py first seen with mtime 1724146130.8877838
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/lib-dynload/fcntl.cpython-312-x86_64-linux-gnu.so first seen with mtime 1724146138.3039453
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/forms/boundfield.py first seen with mtime 1736311827.4399261
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/email/mime/nonmultipart.py first seen with mtime 1724146130.5957775
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/wsgiref/__init__.py first seen with mtime 1724146130.9517853
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/wsgi.py first seen with mtime 1736311827.4169264
DEBUG 2025-02-20 04:02:22,114 autoreload File /usr/local/lib/python3.12/copyreg.py first seen with mtime 1724146130.435774
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1736311826.9919338
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1736311827.440926
DEBUG 2025-02-20 04:02:22,114 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/response.py first seen with mtime 1736314502.040547
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/email/base64mime.py first seen with mtime 1724146130.5797772
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/traceback.py first seen with mtime 1724146130.5117757
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/datetime.py first seen with mtime 1724146130.435774
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/checks/__init__.py first seen with mtime 1736311827.4179265
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/files/base.py first seen with mtime 1736311827.4189265
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/zoneinfo/__init__.py first seen with mtime 1724146130.9917862
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/__init__.py first seen with mtime 1736311827.1089318
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/messages/__init__.py first seen with mtime 1736311827.332928
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1736311827.1809306
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/migrations/operations/models.py first seen with mtime 1736311827.433926
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1736311827.4199264
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/models/sql/query.py first seen with mtime 1736311827.4399261
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/checks/security/base.py first seen with mtime 1736311827.4189265
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/templatetags/tz.py first seen with mtime 1736311827.452926
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/base/operations.py first seen with mtime 1736311827.4269264
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/asgiref/local.py first seen with mtime 1736311827.0209332
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/watchmate/watchlist_app/api/views.py first seen with mtime 1740024018.7223818
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/templatetags/static.py first seen with mtime 1736311827.452926
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/lib-dynload/_json.cpython-312-x86_64-linux-gnu.so first seen with mtime 1724146138.2319438
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1736311827.4149265
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/lib-dynload/_opcode.cpython-312-x86_64-linux-gnu.so first seen with mtime 1724146138.235944
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/lib-dynload/_socket.cpython-312-x86_64-linux-gnu.so first seen with mtime 1724146138.3199458
DEBUG 2025-02-20 04:02:22,115 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/auth/tokens.py first seen with mtime 1736311827.2069302
DEBUG 2025-02-20 04:02:22,115 autoreload File /usr/local/lib/python3.12/email/_header_value_parser.py first seen with mtime 1724146130.575777
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/base/introspection.py first seen with mtime 1736311827.4269264
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/postgresql/__init__.py first seen with mtime 1736311827.4299262
DEBUG 2025-02-20 04:02:22,116 autoreload File /usr/local/lib/python3.12/contextlib.py first seen with mtime 1724146130.431774
DEBUG 2025-02-20 04:02:22,116 autoreload File /usr/local/lib/python3.12/email/generator.py first seen with mtime 1724146130.5837772
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/urls.py first seen with mtime 1736314502.0425467
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/handlers/exception.py first seen with mtime 1736311827.4209263
DEBUG 2025-02-20 04:02:22,116 autoreload File /usr/local/lib/python3.12/email/message.py first seen with mtime 1724146130.5877774
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/exceptions.py first seen with mtime 1736314502.0385468
DEBUG 2025-02-20 04:02:22,116 autoreload File /usr/local/lib/python3.12/multiprocessing/reduction.py first seen with mtime 1724146130.8717835
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1736311827.3349278
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/rest_framework/renderers.py first seen with mtime 1736314502.040547
DEBUG 2025-02-20 04:02:22,116 autoreload File /usr/local/lib/python3.12/re/_compiler.py first seen with mtime 1724146130.8877838
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/views/generic/dates.py first seen with mtime 1736311827.4609258
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/template/loader_tags.py first seen with mtime 1736311827.4509258
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/db/backends/base/features.py first seen with mtime 1736311827.4269264
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/files/uploadedfile.py first seen with mtime 1736311827.4189265
DEBUG 2025-02-20 04:02:22,116 autoreload File /home/kpmidhlaj/django/menv/lib/python3.12/site-packages/django/core/signing.py first seen with mtime 1736311827.4159265
